label,corrected_text
1,Bardziej raniące jest umniejszanie twoich problemów psychicznych przez osoby które same mają problemy niż przez ludzi którzy tego nigdy nie doświadczyli Serio wolę dostać tekstem idź pobiegaj niż ty nie rozumiesz co to znaczy mieć depresję itp To że aktualnie jest lepiej nie znaczy że zawsze tak było a to że się nie dzielę ze wszystkich moich problemów obcym na dm nie znaczy że ich sama nie mam i że się z nimi nie mierzę
1,To jak mi się nie chcę jechać na uczelnię to hit jest
1,Już któryś raz się wystraszyłam że ktoś mówi coś do mnie na ulicy a oni po prostu na słuchawkach rozmawiają tak głośno
1,Byłam z chłopakiem na pizzy a potem nasi rodzice się lepiej poznali po raz pierwszy taką dłuższą rozmowę
1,Ja się dosłownie czuję jak taka dama czasami ale nie wiem czy to negatywnie czy pozytywnie myślę że oba na raz
1,Mam trochę notatek do nadrobienia a chciałbym przed weekendem mieć wszystko zrobione i w weekend zająć się eventem
1,Bardzo tęsknię za jedną osobą tutaj
1,Mam dziś pierwszy dzień okresu i migrenę więc proszę o ojojanie mnie w komentarzach
1,Bez urazy ale nie sądziłam że ktoś się obrani za nazwanie go chłopakiem bo nie obchodzę dnia mężczyzny a na dodatek uważam że jest tylko jeden mężczyzna w moim życiu
1,Ostatnio mega mało jem jedno danie w ciągu dnia i to wszystko ale dosłownie nie mam ochoty na jedzenie czegokolwiek
1,to nie ja zaczęłam temat chorób psychicznych i się nie tłumacze tylko potwierdzam że no faktycznie mam
1,gdyby nie to to nie poznałabym poetów isaaca czy toma
1,nie bo ja byłam serio ogromną hejterką monster high g3 na początku a teraz podobają mi się milion razy bardziej niż g1 i sporą już mam kolekcję
1,od kiedy wróciłam ze słowenii to kotek codziennie ciągle ze mną śpi
1,piszę z gościem normalnie a potem się zachowuje jakby depresja to były jakieś zawody kto ma gorzej XDD
1,szybciutko nawet nie było długiego oczekiwania już jest w połowie już jest w progu i leci niech leci w tym malinowym kostiumie jest mistrzem olimpijskim KAMIIIL STOOOCH
1,znowu napisał po 2 miesiącach ale zjeb ja przysięgam i myśli że nadal będę z nim pisać XDD
1,przyszła mi pierwsza wypłata za bycie depressed i autistic
1,dzisiaj 4 typów z którymi nie piszę od kilku miesięcy randomowo do mnie napisało
1,przyszłam do lidla z myślą że pewnie prawie nikogo tam nie będzie o takiej porze ale okazało się że było m ostworzeczy za 510 zł i był tłum
1,wciąż pamiętam jak na obozie moja koleżanka dostawała opieprz na noszenie wyzywającej bluzki po czym następnego dnia pożyczyłam ją od niej i NIKT nie miał do mnie o to problemu bo miałam mniejsze piersi to tylko pokazuje jak okropnie seksualizowane są duże piersi
1,przymierzam ubrania aby pozbyć się niepasujących i czemu w większości przewiewnych letnich sukienek wyglądam tak wulgarnie ja chce w nich wyglądać uroczo i lekko
1,nie ale to jest prawda i mam świadomość że dla każdego bycie w pobliżu mnie jest ciężki więc jak niby mam kogoś znaleźć
1,miałam sporo badań krwi w tym krzywą glukozowa i między sprawdzaniem ciągle spałam
1,zawsze jak śni mi się że albo przed kimś czymś uciekam albo się chowam to budzę się cała obolała wszystko mnie boli jestem nie do życia
1,chyba będę dostawać 1200 zł miesięcznie za chodzenie na studia jedyny plus spektrum autyzmu i depresji XDD
1,pani z teatru jest taka słodka i cudowna ze pozwoliła mi mówić na konsultacjach a nie przed wszystkimi na zajęciach i zamiast mówić przez 10 minut rozmawiałyśmy przez 30 jak koleżanki bo to był wspólny temat
1,boję się bo wyszłam z pieskiem na spacer i jakiś typ się pytał czy mój tato jest w domu i się na mnie dziwnie patrzyli
1,Wyobraź sobie że jesteś jakimś eskimosem co sobie siedzi gdzieś w pizdu na samym północnym końcu Kanady i nagle przychodzi jakiś białas który Ci tłumaczy ten skrót i dlaczego ten problem dotyczy też Ciebie
1,Ja kiedy dam se takie kolorki jakie kurwa chce gdzie kurwa chce lol
1,Najbardziej irytuje mnie że w odpowiedziach jest pełno tekstów że hiphop to coś więcej niż rap ale najwyraźniej to działa tylko w jedną stronę Kiedy rap nie ma nic wspólnego z hiphopem to się macha rączką i mówi że gdzieś tam indziej może ten hybhob jest I tak w kółko
1,Popierdoli mnie to się faktycznie wydarzyło xD
1,Nie mówcie mi że jestem nietolerancyjny od 3 dni największe zdegenerowane ćpuny zjarusy smrodasy jebane na tej platformie odpady społeczne do utylizacji srają się pod moim tweetem a dalej nie mam problemu z legalizacją
1,Ćicho tata śpi
1,o żesz kurwa ja pierdolę
1,ale klimat nowego residenta jest dojebany
1,ja pierdolę grace ale ty masz dziurawe łapska
1,zestresowała mnie ta wielka obrzydliwa baba xd
1,przerwa od twitera bo jestem tylko ciągle wkurwiony przez takich spierdoleńców z grzałą w mózgu żegnam
1,cwel zgłosił mój cytat do tego więc napiszę jeszcze raz jeśli napastujesz mnie w internecie razem z tą szkaradą jebany klaunie to zrób krok do przodu chciałbym tu tylko zostawić poziom moich rozmówców i żebyście nie wstawiali swoich brzydkich mord jeśli kogoś wyzywacie
1,chce matche sushi i krosąą ze starbaksa whitegirl sza gay warsaw
1,odkopałom artefakt z 2018 w sensie telefon
1,jaką obsesję trzeba mieć te jebane transiki tak mnie wkurwiają na tym twiterze powiesz im że mają zaburzenie tożsamości płciowej a oni powiedzą że jesteś transfobem klasyczek
1,i jak ja mam brać na poważnie dyskusję z takimi ludźmi
1,no nie czemu oni wszyscy robią kłódkę jak ich wyjaśniam kontekst mojego cytatu
1,boy gay SINGLE 4 dni temu jebnę XD
1,oj ale mnie popierdoli z tym pierdolonym jebanym fucking gówno internetem nic mi się kurwa nie włącza w tym pierdolonym telefonie zaraz złamie w pół i wyjebie za okno
1,ostatnio widzę tiktoki gdzie kobiety wyśmiewają te które chcą ślubu i dzieci XD doszliśmy do etapu że hejtujemy ludzi za to że chcą być szczęśliwi bo nie marzą o karierze i podróżach jak te niezależne feministkii dorzucają jeszcze straight flagę bo bycie hetero jest złe
1,imagine używać ai do SPRZEDAŻY ubrań kiedy to nie jest w ogóle w porządku względem kupującego bo tak naprawdę nie będzie widzieć jak sukienka wygląda na osobie ale u tej typiary to już chyba norma XD
1,XDDDDDDDDDDDDDDDDDD to po chuj wstawiałaś to zdjęcie na publiczne tępa szmato
1,ja się chyba powieszę bo właśnie rozegrałem taki friendly mecz i na post matchu dostałem wiadomość poor nurse that killer is really hard to play gl in the next one KIEDY DOSŁOWNIE CHCIAŁEM FARMIĆ BP Z TYMI SURVIVORAMI NA NOWYM EVENCIE XD ja już się poddaję
1,czy jestem pozerem bo gdy chce zagrać friendly match jako killer w dbd to wychodzę z lobby jak widzę meg thomas albo inne gówna których nie lubię i tak ciągle wychodzę z lobby dopóki wszystkie skiny i postacie survivorów nie będą mi się podobać XD
1,boję się gacha gier ale kolejne ładne kobiety do wishowania prócz genshina i mean castorice
1,moje edtwt
1,wszędzie mnie kurwa jebią w grach popłakałem się bo chciałem wbić 1k pucharków na tej hitlerowskiej emz to kurwa ciągle mnie zabijali później grałem w dbd to mnie dobrało z 100p graczami jako new gen a teraz grałem w idv i w jebanych meczach rankingowych z BOTAMI przegrałem
1,jestem wkurwiony bo 2 lata temu byłem łasy na łatwą kasę i wysprzedałem całą szafę na vinted a teraz chodzę jak lump obszczany
1,xd
1,od kilku miesięcy ciągle chodzę spać po 4 bo spędzam czas z moją ulubioną osobą i robię rzeczy których nie doświadczyłem z nikim innym physical intimacy feels so deep and i find my true self in it the one i havent shown to anyone except
1,mój starter pack z 2018
1,zjebałem egzamin bo nie przeczytałem lektury i jeszcze się tak stresowałem że baba pytała ustnie i wyszła cipa może będę mógł to poprawić i w sumie to moja wina bo miałem 3 miesiące i nic z tym nie zrobiłem ale żyjemy na kręcącym się kamieniu right nic nie jest poważne
1,100 z egzaminu praktycznego i 85 z teorii trochę slaynolem
1,czemu mężczyźni nienawidzą kobiet
1,ale bym se tera dał jakąś zimną kolkę cipsa solonego i jakiś gniot na telewizorze AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA czemu muszę być niewolnikiem systemu
1,ghetto
1,zrobiłem plakat na studia przecież ja wyplułem tu wszystkie swoje umiejętności plastyczne X D D D
1,jestem w żabce z 3 osobami i wszyscy kupują chipsy papierosy i jeden kupił setę
1,dorosła osoba z prawami wyborczymi btw
1,nikt mi nie wmówi że to nie są jebane spierdoliny umysłowe i nie mają prawa kryć się za tym że są zaburzone
1,XD ja kiedyś wykituję z tymi anorektyczkami
1,wiecie że mam permanentnego vipa na star stable od 8 lat nie wiecie to teraz już wiecie że jestem bogatą zdzirowatą suczką ze swagiem lubiącą skakać na koniach yooo slay kebab
1,ej kontrowersyjna opinia cycegtdupa nie wiem kto woli dupę od cycków
1,czy kurwa ubrania które sobie wymyśliłem w głowie i zobaczyłem na pinterest mogą się zrespic w sklepach bo mnie pojebie
1,co tam u was
1,nie wiem czy kogoś to interesuje ale taki mini update z teraz Od poniedziałku zaczynam oddział dzienny
1,hejka dziwnie tak tu wchodzić po ponad dwóch miesiącach nieobecności W sumie nie sądziłam że nikt nie zauważy że zniknęłam tak po prostu Nie wiem czy wracamm
1,niedawno się obudziłam spałam 12 godzin
1,wylądowaliśmy przed 7 W samolocie pospałam jakoś 3h albo mniej W domku w pewnym momencie poczułam się zmęczona i poszłam spać i spałam 2 i pol godziny wstałam a potem znowu spałam 5h Jest 20 już ciekawe czy zasnę w nocy jak tyle sobie pospałam w dzień
1,Byliśmy dziś w Friðheimar cudownie było zupa była przepyszna Nawet zwyczajny chleb który do tego dostaliśmy był taki dobry
1,ale ten tydzień był naprawdę super Pogoda była naprawdę świetna raz dopadł nas taki konkretny deszcz ale i tak chwilę tylko padało Cudownie przyjęła nas tutaj chrześnica taty z mężem Naprawdę dobrze się bawiłam To był taki intensywny czas bardzi szybko mi zleciał
1,wracam już do domku mam lot o 3 czasu polskiego siedzę już na lotnisku
1,Heklalt3 zdjęcia z wczoraj
1,Te generowane pytania są tak creepy
1,Nieoficjalnie sondaże pokazują że to ja wygram Przysięgam sam robiłem
1,Alicja mówiąca Williamowi z Wiwiblogs prosto w oczy słyszałam że nie podoba ci się moja piosenka to taki slay Prawie spadł z krzesła
1,Zbyt wiele
1,Zależy od najbliższych Ogólnie trudno jest mi być całkiem sobą Noszę w sobie mnóstwo wstydu osoby homo pewnie wiedzą jakie to uczucie Ale coraz bardziej się otwieram
