original_index,label,text,sentiment,n_1st_verb,n_1st_pronoun,n_sing,n_past,n_cond,n_words,rate_verb,rate_pron,rate_sing,rate_past,rate_cond,emoji,absolutist
0,1,"Bardziej raniące jest umniejszanie twoich problemów psychicznych przez osoby, które same mają problemy, niż przez ludzi którzy tego nigdy nie doświadczyli. Serio wolę dostać tekstem „idź pobiegaj”, niż „ty nie rozumiesz, co to znaczy mieć ""depresję"" itp. To że aktualnie jest lepiej nie znaczy, że zawsze tak było, a to że się nie dziele ze wszystkich moich problemów obcym na dm nie znaczy, że ich sama nie mam i, że się z nimi nie mierzę",negative,4.0,1.0,4.0,0.0,0.0,75.0,0.0533333333333333,0.0133333333333333,1.0,0.0,0.0,0,1
1,1,To jak mi się nie chce jechać na uczelnię to hit jest…,negative,1.0,1.0,1.0,0.0,0.0,12.0,0.0833333333333333,0.0833333333333333,1.0,0.0,0.0,0,0
2,1,"Już któryś raz się wystraszyłam, że ktoś mówi coś do mnie na ulicy, a oni po prostu na słuchawkach rozmawiają tak głośno",negative,1.0,1.0,1.0,1.0,0.0,22.0,0.0454545454545454,0.0454545454545454,1.0,1.0,0.0,0,0
3,1,"Byłam z chłopakiem na pizzy, a potem nasi rodzice się lepiej poznali po raz pierwszy taką dłuższą rozmowę:face_holding_back_tears:",positive,1.0,1.0,1.0,1.0,0.0,18.0,0.0555555555555555,0.0555555555555555,1.0,1.0,0.0,1,0
4,1,"Ja się dosłownie czuję jak taka dama czasami ale nie wiem czy to negatywnie czy pozytywnie, myślę że oba na raz:grinning_face_with_sweat:",neutral,3.0,1.0,3.0,0.0,0.0,21.0,0.1428571428571428,0.0476190476190476,1.0,0.0,0.0,1,0
5,1,"Mam trochę notatek do nadrobienia, a chciałbym przed weekendem mieć wszystko zrobione i w weekend zająć się eventem:face_exhaling:",positive,2.0,0.0,2.0,0.0,1.0,18.0,0.1111111111111111,0.0,1.0,0.0,0.5,1,1
6,1,Bardzo tęsknię za jedną osobą tutaj :<,positive,1.0,0.0,1.0,0.0,0.0,6.0,0.1666666666666666,0.0,1.0,0.0,0.0,1,0
7,1,"Mam dziś pierwszy dzień okresu i migrenę, więc proszę o ojojanie mnie w komentarzach",negative,2.0,1.0,2.0,0.0,0.0,14.0,0.1428571428571428,0.0714285714285714,1.0,0.0,0.0,0,0
8,1,"Bez urazy, ale nie sądziłam, że ktoś się obrani za nazwanie go chłopakiem bo nie obchodzę dnia mężczyzny, a na dodatek uważam, że jest tylko jeden mężczyzna w moim życiu:upside-down_face:",negative,3.0,1.0,3.0,1.0,0.0,30.0,0.1,0.0333333333333333,1.0,0.3333333333333333,0.0,1,0
9,1,"Ostatnio mega mało jem, jedno danie w ciągu dnia i to wszystko, ale dosłownie nie mam ochoty na jedzenie czegokolwiek",negative,2.0,0.0,2.0,0.0,0.0,20.0,0.1,0.0,1.0,0.0,0.0,0,1
