original_index,label,text,sentiment,n_1st_verb,n_1st_pronoun,n_sing,n_past,n_cond,n_words,rate_verb,rate_pron,rate_sing,rate_past,rate_cond,emoji,absolutist
4259,0,Z synami na studniówce. Szacun za organizację Antosi vol. 2. Oby więcej takich inicjatyw w internetach! Miłego wieczoru :mechanical_arm:,1,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1,1
3082,0,"Wspaniały jest ten wątek. Nie zapomnę go nigdy.

Motoryzacja spalinowa bohatersko walczy z problemami zupełnie nieznanymi motoryzacji współczesnej.",1,1.0,0.0,1.0,0.0,0.0,18.0,0.0555555555555555,0.0,1.0,0.0,0.0,0,1
3588,0,"1. nie 
nie zlozylo 
Prezydenta nie było wiec nie mogli złożyć
""wobec Prezydenta"" 
2. czy to prawda, ze nie zjawił się Pan na tej groteskowej 
""uroczystosci""?
Dlaczego?",-1,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0
3205,0,Furasy są super!,1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
4409,0,"stara, totalnie same
jestem clean od opio 3-4 lata i nadal mnie kusi ale damy rade",1,2.0,1.0,1.0,0.0,0.0,16.0,0.125,0.0625,0.5,0.0,0.0,0,1
3270,0,"Gol Wolskiego wzmacnia tezę o chaotycznym meczu :grinning_face_with_sweat:
GKSMOT",0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0
403,1,a mama mi dała pieniądze na zajączka i w końcu sobie kupiłam kolorowe rajstopy które tak bardzo chciałam,1,2.0,1.0,2.0,2.0,0.0,18.0,0.1111111111111111,0.0555555555555555,1.0,1.0,0.0,0,0
1893,1,"from: me
to: osoby, które o wszystko się przypierdalaja na Twitterze, dosłownie o wszystko",-1,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0714285714285714,0.0,0.0,0.0,0,1
3226,0,Świetne :left-facing_fist:,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0
575,1,"SWEPOL

Te symulki, jakieś dziwne faule. Sędzia nas kręci jak chce. Ale cóż. 
Niby dobrze gramy, zaraz gole z dupy. Nie widzę tego. Stracimy jeszcze jedną bramkę z niczego pewnie.",-1,3.0,1.0,1.0,0.0,0.0,30.0,0.1,0.0333333333333333,0.3333333333333333,0.0,0.0,0,1
2338,0,Ale go upiekło XD,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0
2526,0,"Jak ktoś nie musi, niech nie pakuje się we Wnuki... Od rana rozpiździel, jak po bitwie pod Waterloo. Właśnie poszli - ja leżę :)))",0,1.0,1.0,1.0,0.0,0.0,22.0,0.0454545454545454,0.0454545454545454,1.0,0.0,0.0,1,1
