text,label
"Bardziej raniące jest umniejszanie twoich problemów psychicznych przez osoby, które same mają problemy, niż przez ludzi którzy tego nigdy nie doświadczyli. Serio wolę dostać tekstem „idź pobiegaj”, niż „ty nie rozumiesz, co to znaczy mieć ""depresję"" itp. To że aktualnie jest lepiej nie znaczy, że zawsze tak było, a to że się nie dziele ze wszystkich moich problemów obcym na dm nie znaczy, że ich sama nie mam i, że się z nimi nie mierzę",1
To jak mi się nie chce jechać na uczelnię to hit jest…,1
"Już któryś raz się wystraszyłam, że ktoś mówi coś do mnie na ulicy, a oni po prostu na słuchawkach rozmawiają tak głośno",1
"Byłam z chłopakiem na pizzy, a potem nasi rodzice się lepiej poznali po raz pierwszy taką dłuższą rozmowę🥹",1
"Ja się dosłownie czuję jak taka dama czasami ale nie wiem czy to negatywnie czy pozytywnie, myślę że oba na raz😅",1
"Mam trochę notatek do nadrobienia, a chciałbym przed weekendem mieć wszystko zrobione i w weekend zająć się eventem😮‍💨",1
Bardzo tęsknię za jedną osobą tutaj :<,1
"Mam dziś pierwszy dzień okresu i migrenę, więc proszę o ojojanie mnie w komentarzach",1
"Bez urazy, ale nie sądziłam, że ktoś się obrani za nazwanie go chłopakiem bo nie obchodzę dnia mężczyzny, a na dodatek uważam, że jest tylko jeden mężczyzna w moim życiu🙃",1
"Ostatnio mega mało jem, jedno danie w ciągu dnia i to wszystko, ale dosłownie nie mam ochoty na jedzenie czegokolwiek",1
"to nie ja zaczęłam temat chorob psychiczmych i się nie tlumacze, tylko potwierdzam, że no faktycznie mam",1
"gdyby nie to to nie poznałabym poetow, isaaca czy toma😭",1
nie bo ja byłam serio ogromną hejterką monster high g3 na początku a teraz podobają mi sie milion razy bardziej niż g1 i sporą już mam kolekcję😭,1
od kiedy wróciłam ze slowenii to kotek codziennie ciagle ze mna spi😭😭,1
",piszę z gościem normalnie a potem się zachowuje jakby depresja to były jakieś zawody kto ma gorzejXDD",1
"szybciutko, nawet nie było długiego oczekiwania, już jest w połowie, już jest w progu i leci, niech leci w tym malinowym kostiumie, jest mistrzem olimpijskim KAMIIIL STOOOCH",1
"znowu napisał, po 2 miesiącach, ale zjeb ja przysięgam i mysli, że nadal będę z nim pisacXDD",1
przyszla mi pierwsza wyplata za bycie depressed i autistic😍😍,1
dzisiaj 4 typow z którymi nie pisze od kilku miesięcy randomowo do mnie napisało😭,1
"przyszłam do lidla z myślą, że pewnie prawie nikogo ram nie będzie o takiej porze, ale okazało się, że było m ostworzeczy za 5-10 zł i był tlum",1
"wciaz pamiętam, jak na obozie moja koleżanka dostawała opieprz na noszenie ""wyzywającej"" bluzki, po czym następnego dnia pożyczyłam ją od niej i NIKT nie miał do mnie o to problemu, bo mialam mniejsze piersi, to tylko pokazuje, jak okropnie seksualizowane są duże piersi",1
"przymierzam ubrania aby pozbyć się niepasujących i czemu w większości przewiewnych, letnich sukienek wygladam tak wulgarnie, ja chce w nich wyglądać uroczo i lekko:(",1
"nie ale to jest prawda i mam świadomość że dla każdego bycie w pobliżu mnie jest ciezkei, woec jak niby mam kogoś znalezc💔💔",1
"mialam sporo badań krwi, w tym krzywą glukozowa i między sprawdzaniem coagle spałam😭",1
"zawsze jak sni m isie, ze albo przed kims/czymś uciekam albo się chowam, to budze się cała obolala, wszystko mnie boli, jestem nie do zycia",1
"chyba będę dostawać 1200 zł miesięcznie za chodzenie na studia, jedyny plus spektrum autyzmu i depresjiXDD",1
"pani z teatru jest taka słodka i cudowna ze pozwoliła mi mówić na konsultacjach a nie przed wszystkimi na zajęciach i zamiast mówić przez 10 minut, rozmawiałyśmy przez 30 jak koleżanki bo to był wspólny temat🥹",1
"boje sie bo wyszlam z pieskiem na spacer i jakis typ sie pytal, czy moj tato jest w domu i sie na mnie dziwnie patrzyli",1
Wyobraź sobie że jesteś jakimś eskimosem co sobie siedzi gdzieś w pizdu na samym północnym końcu Kanady i nagle przychodzi jakiś białas który Ci tłumaczy ten skrót i dlaczego ten problem dotyczy też Ciebie,1
Ja kiedy dam se takie kolorki jakie kurwa chce gdzie kurwa chce lol,1
"Najbardziej irytuje mnie że w odpowiedziach jest pełno tekstów że ""hiphop to coś więcej niż rap"", ale najwyraźniej to działa tylko w jedną stronę. Kiedy rap nie ma nic wspólnego z hiphopem to się macha rączką i mówi że gdzieś tam indziej może ten hybhob jest. I tak w kółko.",1
"Popierdoli mnie, to sie faktycznie wydarzyło xD",1
"Nie mówcie mi że jestem nietolerancyjny, od 3 dni największe zdegenerowane ćpuny zjarusy smrodasy jebane na tej platformie odpady społeczne do utylizacji srają się pod moim tweetem a dalej nie mam problemu z legalizacją",1
Ćicho tata śpi,1
o zesz kurwa ja pierdolę,1
ale klimat nowego residenta jest dojebany,1
ja pierdolę grace ale ty masz dziurawe łapska,1
zestresowała mnie ta wielka obrzydliwa baba xd,1
przerwa od twitera bo jestem tylko ciągle wkurwiony przez takich spierdoleńców z grzałą w mózgu żegnam,1
"cwel zgłosił mój cytat do tego więc napiszę jeszcze raz:
jeśli napastujesz mnie w internecie razem z tą szkaradą jebany klaunie to zrób krok do przodu 

chciałbym tu tylko zostawić poziom moich rozmówców i żebyście nie wstawiali swoich brzydkich mord jeśli kogoś wyzywacie",1
chce matche sushi i krosąą ze starbaksa #whitegirl #sza #gay #warsaw,1
odkopałom artefakt z 2018 w sensie telefon,1
jaką obsesje trzeba mieć 😭 te jebane transiki tak mnie wkurwiają na tym twiterze powiesz im że mają zaburzenie tożsamości płciowej a oni powiedzą że jesteś transfobem klasyczek,1
